Table 188 : Value added and employment in respect of the Four Key Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1)
          Accommodation services (5),6500,6300,6700,5000,7500,9600,11500,12400,12900,9800,16100,23200,25000,25600,26200,23200,22500,24200,25800,17300,500,0.5,0.5,0.5,0.4,0.6,0.7,0.8,0.8,0.8,0.6,0.9,1.2,1.2,1.2,1.2,1.0,0.9,0.9,1.0,0.6,0.0,24300,24500,23600,22400,23600,23500,24600,29600,28500,27100,34500,39100,39500,39900,40100,37300,36600,37900,37300,34200,3600,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.9,0.8,0.8,1.0,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.0,0.9,0.1
          Food and beverage services,2700,2600,3400,2600,3500,4300,4400,4500,5000,4500,6300,7900,9100,10000,10900,11400,11400,12200,12800,10100,600,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.0,20300,21600,32300,27700,32500,36900,34900,31200,31300,27900,37300,42900,46100,49000,51700,52700,49600,51000,50100,44000,4000,0.6,0.7,1.0,0.9,1.0,1.1,1.0,0.9,0.9,0.8,1.1,1.2,1.3,1.3,1.4,1.4,1.3,1.3,1.3,1.1,0.1
          Cross-boundary passenger transport services,6700,5500,7500,5300,7500,7900,7500,9200,2500,8000,13800,10500,10000,11700,14500,18100,18600,17700,18100,16500,2200,0.5,0.4,0.6,0.4,0.6,0.6,0.5,0.6,0.2,0.5,0.8,0.6,0.5,0.6,0.7,0.8,0.8,0.7,0.7,0.6,0.1,7900,7800,8500,6800,8300,8900,9900,11100,11300,11600,11700,13400,13700,14200,14000,14000,14900,14200,14200,13600,7200,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2
          Others,2000,2100,3600,2700,3300,3900,4000,4100,4300,4700,6100,7700,8600,9700,10500,10800,11100,12600,14100,11000,500,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.0,6700,6700,12800,10000,12100,13300,13300,14100,14200,14800,15500,19800,19800,22700,22200,22000,21300,22800,24100,19600,1200,0.2,0.2,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.0
     (B) Outbound tourism,9700,9700,10500,8600,10300,11700,11200,12800,7500,10700,15400,14100,15400,16800,18900,23200,22900,22100,22200,23100,4200,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.5,0.7,0.9,0.7,0.8,0.8,0.9,1.0,0.9,0.9,0.8,0.8,0.2,27600,28300,26400,24900,25800,28100,30400,31300,33600,28700,27200,29700,32200,32100,31300,32500,33300,32600,31800,33300,26600,0.9,0.9,0.8,0.8,0.8,0.8,0.9,0.9,1.0,0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.9,0.9,0.8,0.9,0.7
"          Travel agency, reservation service and related activities",3300,3300,3100,2500,3300,4100,4300,4800,4700,5000,6100,5600,6000,6100,6300,6900,6600,6700,7000,6300,400,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.0,17700,17900,16800,16500,17900,19100,20000,20700,20800,19700,19100,19400,19800,19900,19700,20400,20400,20400,19500,19100,17400,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
          Cross-boundary passenger transport services,6400,6400,7400,6100,7000,7600,6900,8000,2800,5700,9300,8500,9500,10800,12600,16300,16200,15400,15200,16900,3800,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.2,0.4,0.5,0.4,0.5,0.5,0.6,0.7,0.7,0.6,0.6,0.6,0.1,9900,10400,9600,8400,7900,9000,10400,10700,12800,8900,8200,10300,12400,12200,11600,12100,12900,12200,12300,14200,9200,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.2
(III) Trading and Logistics,302800,305900,311300,322200,354400,393000,399400,408900,414700,377800,439600,485400,495400,500500,515700,517400,523100,548400,571600,541200,507000,23.6,24.1,24.9,26.3,27.6,28.5,27.1,25.5,25.6,23.9,25.3,25.5,24.6,23.9,23.4,22.3,21.6,21.5,21.2,19.7,19.8,764800,763200,742300,753200,785200,815600,830100,836200,820200,783900,778200,773800,763600,766300,764800,746900,730700,729500,722200,678400,622600,23.8,23.4,23.0,23.5,23.9,24.4,24.3,24.0,23.4,22.6,22.4,21.6,20.9,20.6,20.4,19.8,19.3,19.0,18.6,17.5,16.9
     (A) Trading,246600,252300,256600,263600,286900,322600,327200,336900,351800,323000,357100,417800,428200,432600,440900,439600,446300,466700,486800,460600,425000,19.2,19.9,20.5,21.5,22.3,23.4,22.2,21.0,21.7,20.4,20.6,22.0,21.3,20.6,20.0,18.9,18.5,18.3,18.0,16.8,16.6,575300,575300,564700,571700,597000,621600,627100,631700,619300,587400,587500,583200,580100,577700,577000,565900,555900,548200,544400,500900,445200,17.9,17.7,17.5,17.9,18.2,18.6,18.4,18.1,17.6,16.9,16.9,16.3,15.9,15.5,15.4,15.0,14.7,14.3,14.0,12.9,12.1
          Wholesale,12000,13200,11900,10700,12300,12500,13800,12300,14600,13200,15400,16200,18200,19100,19900,19500,19400,20000,21700,20200,16600,0.9,1.0,1.0,0.9,1.0,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.6,71100,70300,68100,66600,72100,74700,72000,71800,68800,66700,64000,64300,63800,62500,61600,60300,59900,59600,59200,56100,50700,2.2,2.2,2.1,2.1,2.2,2.2,2.1,2.1,2.0,1.9,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.4,1.4
          Import and export trade,234600,239100,244700,252800,274500,310100,313400,324600,337200,309800,341600,401600,410100,413400,421000,420000,426900,446700,465100,440400,408400,18.3,18.8,19.6,20.6,21.4,22.5,21.3,20.2,20.8,19.6,19.7,21.1,20.4,19.7,19.1,18.1,17.7,17.5,17.2,16.1,16.0,504200,505000,496600,505100,525000,546900,555100,559900,550500,520600,523500,518900,516300,515100,515400,505600,496000,488600,485200,444800,394500,15.7,15.5,15.4,15.8,16.0,16.4,16.3,16.1,15.7,15.0,15.0,14.5,14.1,13.8,13.8,13.4,13.1,12.7,12.5,11.5,10.7
     (B) Logistics,56100,53600,54700,58700,67500,70400,72300,72000,63000,54800,82500,67700,67100,67900,74800,77900,76800,81700,84800,80600,82000,4.4,4.2,4.4,4.8,5.3,5.1,4.9,4.5,3.9,3.5,4.7,3.6,3.3,3.2,3.4,3.3,3.2,3.2,3.1,2.9,3.2,189500,187900,177600,181500,188100,194000,203000,204500,200800,196600,190700,190500,183500,188700,187700,180900,174800,181300,177800,177500,177400,5.9,5.8,5.5,5.7,5.7,5.8,5.9,5.9,5.7,5.7,5.5,5.3,5.0,5.1,5.0,4.8,4.6,4.7,4.6,4.6,4.8
          Freight transport and storage services,50700,48700,49900,53900,62000,64700,66700,66500,57900,49700,76800,62300,61500,61500,67700,70500,68600,73000,76100,71800,71500,3.9,3.8,4.0,4.4,4.8,4.7,4.5,4.1,3.6,3.1,4.4,3.3,3.1,2.9,3.1,3.0,2.8,2.9,2.8,2.6,2.8,170800,169800,158900,163200,168700,174100,181300,183000,180200,177200,173000,172200,165500,170700,169500,161700,156000,162100,159400,158900,156700,5.3,5.2,4.9,5.1,5.1,5.2,5.3,5.3,5.1,5.1,5.0,4.8,4.5,4.6,4.5,4.3,4.1,4.2,4.1,4.1,4.2
          Postal and courier services,5500,4900,4800,4800,5500,5700,5500,5500,5100,5100,5600,5300,5600,6400,7100,7400,8200,8700,8700,8800,10500,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,18700,18100,18700,18300,19400,19900,21600,21400,20600,19400,17700,18300,18000,18000,18300,19200,18800,19200,18400,18600,20700,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6
(IV) Professional Services and Other Producer Services,135800,136700,133600,130800,139600,149800,158900,181800,197600,201500,216100,235900,257600,260200,273200,287200,302900,311800,321400,324800,294700,10.6,10.8,10.7,10.7,10.9,10.9,10.8,11.3,12.2,12.7,12.4,12.4,12.8,12.4,12.4,12.3,12.5,12.2,11.9,11.9,11.5,359200,380400,377800,385500,392800,404500,418600,438100,457000,456200,460100,469300,482600,496200,507700,521700,531800,538400,553800,571200,564900,11.2,11.7,11.7,12.0,12.0,12.1,12.3,12.6,13.0,13.1,13.2,13.1,13.2,13.3,13.6,13.8,14.0,14.0,14.3,14.8,15.3
     (A) Professional services,43000,41800,41400,42300,46500,48100,51600,59000,60900,66300,78000,88000,94700,99700,106700,112700,118100,121200,128100,130800,126000,3.3,3.3,3.3,3.4,3.6,3.5,3.5,3.7,3.8,4.2,4.5,4.6,4.7,4.8,4.8,4.8,4.9,4.7,4.7,4.8,4.9,124000,139800,135900,139000,142000,148600,157000,164500,178100,174900,178800,184900,195200,203800,208600,213100,217400,221900,228900,238300,241200,3.9,4.3,4.2,4.3,4.3,4.4,4.6,4.7,5.1,5.0,5.1,5.2,5.3,5.5,5.6,5.6,5.7,5.8,5.9,6.2,6.5
"          Legal, accounting and auditing services",14000,14000,14100,12400,14600,15600,16100,18400,19500,20500,22400,23900,24000,25700,27900,30500,33100,34500,37400,36400,35600,1.1,1.1,1.1,1.0,1.1,1.1,1.1,1.1,1.2,1.3,1.3,1.3,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.3,1.4,30800,32600,32200,33800,34100,37200,40000,42100,46100,46300,46500,47400,49100,49800,50400,51600,52900,53100,53900,56200,56900,1.0,1.0,1.0,1.1,1.0,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5
"          Architecture and engineering activities, technical testing and analysis; scientific research and development; management and management consultancy activities",14200,15000,14100,16000,17100,15300,18300,21900,21600,24600,30500,34000,40100,40800,43800,46000,48300,49100,51000,50800,48200,1.1,1.2,1.1,1.3,1.3,1.1,1.2,1.4,1.3,1.6,1.8,1.8,2.0,1.9,2.0,2.0,2.0,1.9,1.9,1.9,1.9,44100,48400,47300,46100,50700,52900,55400,58300,63100,61700,63800,67000,70600,74500,76200,77800,79800,82300,84700,87700,89500,1.4,1.5,1.5,1.4,1.5,1.6,1.6,1.7,1.8,1.8,1.8,1.9,1.9,2.0,2.0,2.1,2.1,2.1,2.2,2.3,2.4
"          Other professional services (e.g. information technology related services, advertising and specialised design services)",14700,12800,13200,13800,14900,17100,17200,18800,19900,21200,25100,30100,30600,33300,35000,36200,36700,37600,39600,43600,42300,1.1,1.0,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.6,1.5,1.6,1.6,1.6,1.5,1.5,1.5,1.6,1.7,49000,58800,56400,59100,57200,58500,61500,64100,68800,66800,68400,70500,75500,79500,82000,83800,84700,86600,90200,94400,94800,1.5,1.8,1.7,1.8,1.7,1.8,1.8,1.8,2.0,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.6
     (B) Other producer services (6),92800,94900,92200,88600,93000,101700,107300,122800,136700,135200,138200,147900,162900,160500,166500,174400,184800,190700,193300,194000,168700,7.2,7.5,7.4,7.2,7.2,7.4,7.3,7.7,8.4,8.5,8.0,7.8,8.1,7.6,7.5,7.5,7.6,7.5,7.2,7.1,6.6,235200,240600,241900,246500,250800,255900,261600,273500,279000,281300,281300,284400,287300,292300,299100,308600,314400,316400,324900,332900,323700,7.3,7.4,7.5,7.7,7.6,7.7,7.7,7.9,7.9,8.1,8.1,7.9,7.9,7.8,8.0,8.2,8.3,8.3,8.4,8.6,8.8
Four Key Industries = (I)+(II)+(III)+(IV),633700,625800,634800,645300,701000,777100,851700,967400,934100,886200,1014100,1112800,1166800,1212800,1269300,1330900,1367300,1454900,1548700,1545900,1410500,49.4,49.3,50.8,52.6,54.5,56.4,57.8,60.3,57.7,56.0,58.4,58.5,58.0,57.8,57.5,57.2,56.6,57.0,57.3,56.4,55.1,1408400,1440900,1438300,1446400,1501700,1564400,1609900,1658300,1678100,1643800,1670100,1705400,1726600,1764700,1780100,1781100,1775300,1784600,1798600,1756700,1512700,43.9,44.3,44.6,45.2,45.8,46.8,47.2,47.6,47.8,47.4,48.0,47.7,47.3,47.4,47.5,47.2,46.9,46.6,46.3,45.4,41.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note(s) :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up to the total due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'0.0'        Percentage share of less than 0.05%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Figures have been revised based on the latest population benchmark from the results of the 2021 Population Census.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Value added figures are rounded to the nearest hundred million.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 The contribution of the Four Key Industries is compiled as a percentage share in nominal GDP valued at basic prices. Such GDP figure is slightly different from the commonly used one, i.e. valued at current market prices, in which taxes on products are included.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Employment figures are rounded to the nearest hundred.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 Accommodation services cover hotels, guesthouses, boarding houses and other establishments providing short term accommodation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6 Other producer services refer to producer services other than financial services, tourism, trading and logistics, and professional services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GDP by economic activity at detailed levels, Annual Survey of Economic Activities, tourism statistics of the Hong Kong Tourism Board, and Composite Employment Estimates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Income Section (2)1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Census and Statistics Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Enquiry telephone no. : 3903 7005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enquiry e-mail : gdp-p@censtatd.gov.hk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: 15 September, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
